id;autor;tema;autor_id;tema_id;nodos;imagenes;videos;sonidos;textos;urls;no_media
1;Wilde;Amor;8;1;11;2;2;0;4;3;0
2;Bombal;Amor;1;1;9;1;2;1;1;3;1
3;Donoso;Soledad;4;7;8;3;2;1;1;1;0
4;Poe;Soledad;7;7;7;1;1;0;2;0;3
5;Donoso;Soledad;4;7;11;4;1;1;4;1;0
6;Poe;Misterio;7;5;11;3;3;3;0;0;2
7;Grimm;Fantasía;5;3;9;3;1;0;2;0;3
8;Poe;Muerte;7;6;9;3;1;2;2;1;0
9;Bombal;Fantasía;1;3;10;3;2;1;1;1;2
10;Lovecraft;Soledad;6;7;10;2;2;0;1;2;3
11;Bombal;Muerte;1;6;7;3;1;0;0;3;0
12;Grimm;Felicidad;5;4;10;4;2;0;2;2;0
13;Wilde;Muerte;8;6;9;2;3;0;2;2;0
14;Poe;Muerte;7;6;5;1;1;0;2;0;1
15;Bombal;Amor;1;1;11;4;2;1;1;3;0
16;Wilde;Felicidad;8;4;5;2;2;0;1;0;0
17;Donoso;Soledad;4;7;9;3;1;0;1;1;3
18;Poe;Fantasía;7;3;7;2;2;1;0;2;0
19;Poe;Misterio;7;5;11;3;1;1;2;1;3
20;Bombal;Amor;1;1;10;4;2;1;2;1;0
21;Poe;Amor;7;1;13;4;3;3;2;1;0
22;Poe;Muerte;7;6;13;4;3;0;4;2;0
23;Poe;Muerte;7;6;8;1;2;1;3;1;0
24;Poe;Muerte;7;6;10;2;2;1;1;1;3
25;Lovecraft;Fantasía;6;3;10;3;2;0;3;2;0
26;Poe;Misterio;7;5;7;3;1;0;2;1;0
27;Bombal;Muerte;1;6;11;4;1;1;4;1;0
28;Wilde;Muerte;8;6;7;4;1;0;1;1;0
29;Grimm;Aprendizaje;5;2;11;2;2;0;2;2;3
30;Borges;Tiempo;2;9;11;4;1;1;4;1;0
31;Bombal;Amor;1;1;13;4;2;1;3;3;0
32;Bombal;Felicidad;1;4;11;4;4;0;2;1;0
33;Borges;Tiempo;2;9;10;4;1;1;2;2;0
34;Grimm;Viaje;5;10;10;3;1;2;1;3;0
35;Wilde;Felicidad;8;4;10;4;1;1;3;1;0
36;Wilde;Felicidad;8;4;13;3;0;2;4;4;0
37;Poe;Muerte;7;6;12;3;2;1;4;2;0
38;Bombal;Soledad;1;7;12;4;1;0;4;3;0
39;Grimm;Aprendizaje;5;2;11;4;1;1;2;2;1
40;Grimm;Muerte;5;6;9;4;2;0;2;1;0
41;Poe;Soledad;7;7;8;3;2;1;1;1;0
42;Woolf;Aprendizaje;9;2;5;1;1;1;1;1;0
43;Yourcenar;Muerte;10;6;7;3;1;0;1;2;0
44;Bombal;Soledad;1;7;7;3;1;1;1;1;0
45;Poe;Misterio;7;5;8;3;2;0;3;0;0
