;autor;tema;nodos;imágenes;videos;sonidos;textos;urls
hipermedio1;8;1;11;2;2;0;4;3
hipermedio2;1;1;9;1;2;1;1;3
hipermedio3;4;7;8;3;2;1;1;1
hipermedio4;7;7;7;1;1;0;2;0
hipermedio5;4;7;11;4;1;1;4;1
hipermedio6;7;5;11;3;3;3;0;0
hipermedio7;5;3;9;3;1;0;2;0
hipermedio8;7;6;9;3;1;2;2;1
hipermedio9;1;3;10;3;2;1;1;1
hipermedio10;6;7;10;2;2;0;1;2
hipermedio11;1;6;7;3;1;0;0;3
hipermedio12;5;4;10;4;2;0;2;2
hipermedio13;8;6;9;2;3;0;2;2
hipermedio14;7;6;5;1;1;0;2;0
hipermedio15;1;1;11;4;2;1;1;3
hipermedio16;8;4;5;2;2;0;1;0
hipermedio17;4;7;9;3;1;0;1;1
hipermedio18;7;3;7;2;2;1;0;2
hipermedio19;7;5;11;3;1;1;2;1
hipermedio20;1;1;10;4;2;1;2;1
hipermedio21;7;1;13;4;3;3;2;1
hipermedio22;7;6;13;4;3;0;4;2
hipermedio23;7;6;8;1;2;1;3;1
hipermedio24;7;6;10;2;2;1;1;1
hipermedio25;6;3;10;3;2;0;3;2
hipermedio26;7;5;7;3;1;0;2;1
hipermedio27;1;6;11;4;1;1;4;1
hipermedio28;8;6;7;4;1;0;1;1
hipermedio29;5;2;11;2;2;0;2;2
hipermedio30;2;9;11;4;1;1;4;1
hipermedio31;1;1;13;4;2;1;3;3
hipermedio32;1;4;11;4;4;0;2;1
hipermedio33;2;9;10;4;1;1;2;2
hipermedio34;5;10;10;3;1;2;1;3
hipermedio35;8;4;10;4;1;1;3;1
hipermedio36;8;4;13;3;0;2;4;4
hipermedio37;7;6;12;3;2;1;4;2
hipermedio38;1;7;12;4;1;0;4;3
hipermedio39;5;2;11;4;1;1;2;2
hipermedio40;5;6;9;4;2;0;2;1
hipermedio41;7;7;8;3;2;1;1;1
hipermedio42;9;2;5;1;1;1;1;1
hipermedio43;10;6;7;3;1;0;1;2
hipermedio44;1;7;7;3;1;1;1;1
hipermedio45;7;5;8;3;2;0;3;0
hipermedio46;6;8;13;3;4;0;0;1
hipermedio47;2;9;9;3;4;0;2;0
hipermedio48;1;3;12;4;1;0;3;1
hipermedio49;7;6;6;4;1;0;1;0
hipermedio50;7;6;13;4;4;0;4;1
hipermedio51;4;10;9;4;3;0;0;2
hipermedio52;8;1;10;3;1;1;3;2
hipermedio53;6;3;11;4;2;0;0;0
hipermedio54;6;5;10;2;2;0;4;0
hipermedio55;5;4;10;4;2;1;1;2
hipermedio56;7;1;6;2;1;1;1;1
hipermedio57;8;1;9;1;2;2;1;3
hipermedio58;8;1;11;4;2;0;2;3
hipermedio59;2;9;11;4;2;0;4;1
hipermedio60;8;1;13;3;1;0;3;0
hipermedio61;2;8;13;4;4;1;2;2
hipermedio62;8;1;7;3;2;1;0;1
hipermedio63;5;3;6;2;0;2;1;1
hipermedio64;1;6;8;2;1;0;1;1
hipermedio65;3;3;6;2;1;1;1;1
hipermedio66;2;9;10;2;3;0;2;3
hipermedio67;10;10;9;2;2;2;3;0
hipermedio68;2;8;12;3;3;1;3;2
hipermedio69;1;6;13;2;2;0;1;1
hipermedio70;8;6;10;3;1;1;1;1
hipermedio71;5;2;12;4;0;1;3;3
hipermedio72;5;2;12;3;1;0;4;3
hipermedio73;1;4;12;4;2;2;3;1
hipermedio74;7;6;13;3;2;3;1;0
hipermedio75;9;9;11;4;3;0;0;3
hipermedio76;7;6;13;4;2;1;3;2
hipermedio77;7;6;9;1;2;0;4;1
hipermedio78;8;2;12;4;2;2;3;1
hipermedio79;7;6;10;4;3;0;2;1
hipermedio80;2;9;4;0;1;0;1;2
hipermedio81;2;9;8;2;2;2;1;1
hipermedio82;7;6;13;4;2;0;1;0
hipermedio83;8;4;13;4;2;1;3;1
hipermedio84;8;7;10;4;4;1;0;1
hipermedio85;8;4;11;2;1;2;2;2
hipermedio86;4;7;7;1;3;1;2;0
hipermedio87;7;9;8;2;1;1;1;1
hipermedio88;2;3;12;3;4;0;3;2
hipermedio89;8;4;13;4;2;1;4;2
hipermedio90;4;7;7;0;2;0;2;2
hipermedio91;9;6;12;3;1;2;4;2
hipermedio92;7;6;8;1;2;0;1;2
hipermedio93;1;3;8;1;2;1;2;2
hipermedio94;1;3;10;4;4;0;1;1
hipermedio95;7;7;11;3;4;1;3;0
hipermedio96;1;6;9;3;2;1;1;2
hipermedio97;5;;8;2;1;1;1;1
hipermedio98;5;3;9;2;1;0;1;0
hipermedio99;2;9;7;3;1;0;2;1
hipermedio100;1;1;6;2;3;0;0;1
hipermedio101;1;1;10;4;2;2;2;0
hipermedio102;4;5;5;2;0;0;0;1
hipermedio103;6;3;8;2;1;0;2;0
hipermedio104;7;5;6;2;2;0;1;1
hipermedio105;6;3;11;2;2;2;2;3
hipermedio106;7;6;12;4;4;0;0;4
