id;nodos;imagenes;videos;sonidos;textos;urls;no_media;year
1;11;5;2;0;1;1;2;2014
2;19;6;2;1;0;1;9;2014
3;12;4;2;0;5;1;0;2014
4;23;6;2;1;3;5;6;2014
5;9;3;2;1;2;1;0;2014
6;21;10;3;1;3;4;0;2014
7;12;6;1;0;3;0;2;2014
8;18;11;2;1;0;4;0;2014
9;12;2;1;1;4;4;0;2014
10;17;8;2;0;4;3;0;2014
11;20;8;3;3;3;3;0;2014
12;13;5;4;0;1;0;3;2014
13;12;6;1;2;0;0;3;2014
14;15;10;1;1;0;1;2;2014
15;25;13;2;0;2;0;8;2014
16;13;5;1;1;0;2;4;2014
17;16;6;2;0;0;4;4;2014
18;8;4;2;0;1;0;1;2014
19;12;4;3;0;2;3;0;2014
20;11;4;3;1;0;2;1;2014
21;14;7;1;0;0;0;6;2014
22;14;3;2;1;3;4;1;2014
23;16;7;1;0;1;4;3;2014
24;18;8;1;0;5;3;1;2014
25;12;8;3;0;0;1;0;2014
26;12;3;3;0;1;5;0;2014
27;9;4;1;1;1;1;1;2014
28;33;10;7;5;6;5;0;2013
29;33;3;10;2;5;9;4;2013
30;19;6;2;3;4;1;3;2013
31;34;5;1;2;8;2;16;2013
32;32;12;2;1;1;6;10;2013
33;20;8;4;0;4;3;1;2013
34;17;11;3;0;0;3;0;2013
35;18;7;3;1;3;0;4;2013
36;35;17;0;1;3;3;11;2013
37;15;7;2;2;1;0;3;2013
38;68;21;13;4;6;4;20;2013
39;41;16;2;0;0;2;21;2013
40;14;5;5;1;1;2;0;2013
41;25;7;2;0;3;1;12;2013
42;36;11;4;1;5;8;7;2013
43;24;4;1;1;2;1;15;2013
44;17;4;1;1;3;2;6;2013
45;10;3;4;1;1;1;0;2013
46;27;11;3;1;5;1;6;2013
47;36;13;7;1;6;4;5;2013
48;13;5;3;1;2;2;0;2013
49;41;13;4;1;10;2;11;2013
50;16;6;1;3;2;1;3;2013
51;25;13;2;0;4;1;5;2013
52;46;10;3;3;10;2;18;2013
53;14;6;2;2;2;2;0;2013
54;18;5;3;1;2;1;6;2013
55;45;18;2;1;6;1;17;2013
56;8;1;2;2;3;0;0;2013
57;12;4;1;1;1;4;1;2013
58;24;11;5;0;2;3;3;2013
59;29;11;2;0;3;3;10;2013
60;11;2;2;0;4;3;0;2012
61;9;1;2;1;1;3;1;2012
62;8;3;2;1;1;1;0;2012
63;7;1;1;0;2;0;3;2012
64;11;4;1;1;4;1;0;2012
65;11;3;3;3;0;0;2;2012
66;9;3;1;0;2;0;3;2012
67;9;3;1;2;2;1;0;2012
68;10;3;2;1;1;1;2;2012
69;10;2;2;0;1;2;3;2012
70;7;3;1;0;0;3;0;2012
71;10;4;2;0;2;2;0;2012
72;9;2;3;0;2;2;0;2012
73;5;1;1;0;2;0;1;2012
74;11;4;2;1;1;3;0;2012
75;5;2;2;0;1;0;0;2012
76;9;3;1;0;1;1;3;2012
77;7;2;2;1;0;2;0;2012
78;11;3;1;1;2;1;3;2012
79;10;4;2;1;2;1;0;2012
80;13;4;3;3;2;1;0;2012
81;13;4;3;0;4;2;0;2012
82;8;1;2;1;3;1;0;2012
83;10;2;2;1;1;1;3;2012
84;10;3;2;0;3;2;0;2012
85;7;3;1;0;2;1;0;2012
86;11;4;1;1;4;1;0;2012
87;7;4;1;0;1;1;0;2012
88;11;2;2;0;2;2;3;2012
89;11;4;1;1;4;1;0;2012
90;13;4;2;1;3;3;0;2012
91;11;4;4;0;2;1;0;2012
92;10;4;1;1;2;2;0;2012
93;10;3;1;2;1;3;0;2012
94;10;4;1;1;3;1;0;2012
95;13;3;0;2;4;4;0;2012
96;12;3;2;1;4;2;0;2012
97;12;4;1;0;4;3;0;2012
98;11;4;1;1;2;2;1;2012
99;9;4;2;0;2;1;0;2012
100;8;3;2;1;1;1;0;2012
101;5;1;1;1;1;1;0;2012
102;7;3;1;0;1;2;0;2012
103;7;3;1;1;1;1;0;2012
